,camera_0,camera_1,camera_2,camera_3
389,1656236897801572008,1656236897801516702,1656236897802114099,1656236897802103375
390,1656236897901579535,1656236897901524174,1656236897902181904,1656236897902240894
391,1656236898001745374,1656236898001979793,1656236898003033455,1656236898004429039
392,1656236898101925998,1656236898101613361,1656236898102000603,1656236898102118088
393,1656236898201712970,1656236898202012690,1656236898201921137,1656236898202472162
394,1656236898301572138,1656236898301552686,1656236898301982414,1656236898301849292
395,1656236898401479756,1656236898401549309,1656236898401606967,1656236898401865909
396,1656236898501529846,1656236898501536460,1656236898502249005,1656236898502253200
397,1656236898601540349,1656236898601612767,1656236898602419790,1656236898602099249
398,1656236898701670442,1656236898701468168,1656236898702144764,1656236898702111226
399,1656236898801504425,1656236898801492761,1656236898801998031,1656236898802323084
400,1656236898901248675,1656236898901594029,1656236898901966055,1656236898901634291
401,1656236899001242474,1656236899001781732,1656236899002097031,1656236899001833637
402,1656236899101666821,1656236899101624013,1656236899101698095,1656236899101783435
403,1656236899201780562,1656236899201563322,1656236899202066361,1656236899202154405
404,1656236899301725974,1656236899301450245,1656236899302018961,1656236899302571329
405,1656236899401676475,1656236899401472597,1656236899402107822,1656236899402335710
406,1656236899501618367,1656236899501543272,1656236899502064166,1656236899501819854
407,1656236899601602309,1656236899601546167,1656236899602130307,1656236899602007647
408,1656236899701811093,1656236899701893366,1656236899701922323,1656236899702068586
